,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,imdbId,title,releaseYear,releaseDate,genre,writers,actors,directors,sequel,hitFlop,rating,votes,runtimes
31,31,31,31,31,31,31,31,31,31,31,tt0283911,Bas Itna Sa Khwaab Hai...,2001,06 Jul 2001,Romance,Mona Alvi (lyrics) | Goldie Behl (screenplay) | Goldie Behl (story) | Shrishti Behl | Manu Chopra | Tigmanshu Dhulia (dialogue) | Nida Fazli (lyrics) | Dev Kohli (lyrics) | Shyam Raj (lyrics),Rani Mukerji | Abhishek Bachchan | Sushmita Sen | Jackie Shroff,Goldie Behl,0.0,1,3.9,540.0,
32,32,32,32,32,32,32,32,32,32,32,tt0284137,Gadar: Ek Prem Katha,2001,15 Jun 2001,Action | Drama | Romance,Shaktimaan Talwar,Sunny Deol | Ameesha Patel | Amrish Puri | Lillete Dubey,Anil Sharma,0.0,9,7.2,9142.0,170.0
33,33,33,33,33,33,33,33,33,33,33,tt0284328,Mujhe Kucch Kehna Hai,2001,25 May 2001,Romance,Rumi Jaffery (story) | A. Karunakaran (story),Tusshar Kapoor | Kareena Kapoor | Amrish Puri | Rinke Khanna,Satish Kaushik,0.0,7,5.1,975.0,135.0
34,34,34,34,34,34,34,34,34,34,34,tt0285319,Paagalpan,2001,08 Jun 2001,Romance,Joy Augustine (story),Karan Nath | Aarti Agarwal | Vilas Ujawane | Bharat Dabholkar,Joy Augustine,0.0,1,6.7,35.0,146.0
35,35,35,35,35,35,35,35,35,35,35,tt0287537,Love Ke Liye Kuch Bhi Karega,2001,29 Jun 2001,Comedy | Crime | Romance,Rajnish Thakur,Saif Ali Khan | Fardeen Khan | Aftab Shivdasani | Sonali Bendre,Eeshwar Nivas,0.0,2,6.1,1375.0,131.0
36,36,36,36,36,36,36,36,36,36,36,tt0288273,Uljhan,2001,04 May 2001,Drama,Sayed Sultan,Puru Rajkumar | Dipti Bhatnagar | Kanchan | Laxmikant Berde,Rajan Johri,0.0,1,4.9,14.0,
37,37,37,37,37,37,37,37,37,37,37,tt0289845,Aks,2001,13 Jul 2001,Thriller | Mystery,Renzil D'Silva (story) | Rakeysh Omprakash Mehra (screenplay) | Rakeysh Omprakash Mehra (story) | Kamlesh Pandey (dialogue) | Kamlesh Pandey (script),Amitabh Bachchan | Raveena Tandon | Manoj Bajpayee | Nandita Das,Rakeysh Omprakash Mehra,0.0,2,5.9,1490.0,184.0
38,38,38,38,38,38,38,38,38,38,38,tt0290326,Tum Bin...: Love Will Find a Way,2001,13 Jul 2001,Drama | Romance,Shashank Dabral (screenplay) | Anubhav Sinha (dialogue),Priyanshu Chatterjee | Himanshu Malik | Sandali Sinha | Raqesh Vashisth,Anubhav Sinha,0.0,4,7.5,2766.0,158.0
39,39,39,39,39,39,39,39,39,39,39,tt0291376,Nayak: The Real Hero,2001,07 Sep 2001,Drama | Action,Anurag Kashyap (dialogue) | S. Shankar (story),Anil Kapoor | Rani Mukerji | Amrish Puri | Johnny Lever,S. Shankar,0.0,2,7.8,11788.0,187.0
40,40,40,40,40,40,40,40,40,40,40,tt0292490,Dil Chahta Hai,2001,24 Jul 2001,Comedy | Drama,Farhan Akhtar (story) | Kassim Jagmagia (story),Aamir Khan | Saif Ali Khan | Akshaye Khanna | Preity Zinta,Farhan Akhtar,0.0,4,8.1,60437.0,183.0
41,41,41,41,41,41,41,41,41,41,41,tt0292552,Hum Ho Gaye Aap Ke,2001,03 Aug 2001,Musical,Sunil Kumar Agrawal (dialogue) | Ahathian (screenplay) | Ahathian (story),Fardeen Khan | Reema Sen | Apoorva Agnihotri | Suman Ranganathan,Ahathian | Sunil Kumar Agrawal,0.0,1,4.1,351.0,168.0
42,42,42,42,42,42,42,42,42,42,42,tt0292740,Yeh Raaste Hain Pyaar Ke,2001,10 Aug 2001,Romance |Drama,Robin Bhatt | Deepak S. Shivdasani,Ajay Devgn | Madhuri Dixit | Preity Zinta | Vikram Gokhale,Deepak S. Shivdasani,0.0,2,4.1,582.0,149.0
43,43,43,43,43,43,43,43,43,43,43,tt0293342,Lajja,2001,19 Sep 2001,Drama | Musical | Crime,Ranjit Kapoor (dialogue) | Ashok Rawat (associate script) | Rajkumar Santoshi (dialogue) | Rajkumar Santoshi (screenplay) | Rajkumar Santoshi (story),Rekha | Anil Kapoor | Jackie Shroff | Madhuri Dixit,Rajkumar Santoshi,0.0,2,6.8,2300.0,202.0
44,44,44,44,44,44,44,44,44,44,44,tt0294662,Kaante,2002,20 Dec 2002,Action | Crime | Drama,Sanjay Gupta | Vinay | Yash | Milap Zaveri (dialogue),Amitabh Bachchan | Sanjay Dutt | Sunil Shetty | Mahesh Manjrekar,Sanjay Gupta,0.0,3,6.6,4164.0,150.0
45,45,45,45,45,45,45,45,45,45,45,tt0295603,Shirdi Sai Baba,2001,07 Sep 2001,Drama | Mystery,Pandurang Dixit | Vikas Kapoor (story),Sudhir Dalvi | Dharmendra | Vikram Gokhale | Rohini Hattangadi,Deepak Balraj Vij,0.0,1,3.6,162.0,150.0
46,46,46,46,46,46,46,46,46,46,46,tt0296535,Bollywood Bound,2003,14 Jan 2003,Documentary,,Neeru Bajwa | Ruby Bhatia | Vekeana Dhillon | Vikram Dhillon,Nisha Pahuja,0.0,1,8.6,896.0,88.0
47,47,47,47,47,47,47,47,47,47,47,tt0296574,Company,2002,15 Apr 2002,Action | Crime | Thriller,Jaideep Sahni,Ajay Devgn | Mohanlal | Manisha Koirala | Seema Biswas,Ram Gopal Varma,0.0,4,8.0,13048.0,155.0
48,48,48,48,48,48,48,48,48,48,48,tt0297983,Ittefaq,2001,14 Sep 2001,Action | Drama | Thriller,Imtiaz Patel (screenplay) | Imtiaz Patel (story) | Yunus Sajawal (screenplay) | Yunus Sajawal (story) | Sameer (lyrics),Sunil Shetty | Mukul Dev | Pooja Batra | Anupama Verma,Sanjay Khanna,0.0,1,4.8,62.0,138.0
49,49,49,49,49,49,49,49,49,49,49,tt0298606,Yeh Teraa Ghar Yeh Meraa Ghar,2001,12 Oct 2001,Comedy | Drama,Priyadarshan (story) | Neeraj Vora (dialogue) | Neeraj Vora (screenplay),Sunil Shetty | Mahima Chaudhry | Paresh Rawal | Saurabh Shukla,Priyadarshan,0.0,2,5.8,678.0,175.0
50,50,50,50,50,50,50,50,50,50,50,tt0298607,Yeh Zindagi Ka Safar,2001,16 Nov 2001,Drama,Gajra Kottary,Ameesha Patel | Jimmy Shergill | Nafisa Ali | Gulshan Grover,Tanuja Chandra,0.0,1,3.4,127.0,146.0
51,51,51,51,51,51,51,51,51,51,51,tt0299108,Rehnaa Hai Terre Dil Mein,2001,19 Oct 2001,Musical,Gautham Menon (story) | Vipul D. Shah (dialogue) | Vipul D. Shah (story),Madhavan | Saif Ali Khan | Dia Mirza | Vrajesh Hirjee,Gautham Menon,0.0,2,7.5,5653.0,160.0
52,52,52,52,52,52,52,52,52,52,52,tt0300028,Indian,2001,26 Oct 2001,Action | Crime | Drama,Sanjay Masoom (dialogue),Malaika Arora | Raj Babbar | Rana Jung Bahadur | Balwant Bansal,N. Maharajan,0.0,6,5.4,1937.0,178.0
53,53,53,53,53,53,53,53,53,53,53,tt0301179,Deewaanapan,2001,16 Nov 2001,Romance |Drama,Rajesh Singh (dialogue script),Arjun Rampal | Dia Mirza | Vinod Khanna | Om Puri,Ashu Trikha,0.0,2,4.7,364.0,153.0
54,54,54,54,54,54,54,54,54,54,54,tt0301240,Moksha: Salvation,2001,30 Nov 2001,Drama | Thriller,Hriday Lani (dialogues) | Raj Marbros (screenplay) | Ashok Mehta (story),Arjun Rampal | Manisha Koirala | Kalpana Pandit | Suresh Oberoi,Ashok Mehta,0.0,1,6.4,350.0,150.0
55,55,55,55,55,55,55,55,55,55,55,tt0301250,Tera Mera Saath Rahen,2001,07 Nov 2001,Drama,Deepak Kulkarni (dialogue) | Mahesh Manjrekar (screenplay) | Sameer (lyrics),Ajay Devgn | Sonali Bendre | Namrata Shirodkar | Prem Chopra,Mahesh Manjrekar,0.0,1,5.1,269.0,148.0
56,56,56,56,56,56,56,56,56,56,56,tt0302524,Ehsaas: The Feeling,2001,30 Nov 2001,Drama,Deepak Kulkarni,Anand Raj Anand | Sunidhi Chauhan | Nagesh Haldankar | Shakti Kapoor,Mahesh Manjrekar,0.0,1,5.5,74.0,116.0
57,57,57,57,57,57,57,57,57,57,57,tt0303187,Veer Savarkar,2001,,Biography | Drama,Ved Rahi,Shailendra Gaur | Pankaj Berry | Tom Alter | Hemant Birje,Ved Rahi,0.0,1,7.7,69.0,165.0
58,58,58,58,58,58,58,58,58,58,58,tt0305173,Aamdani Atthanni Kharcha Rupaiya,2001,21 Dec 2001,Comedy,Anwar Khan (dialogue) | V. Shekhar (story),Govinda | Juhi Chawla | Tabu | Chandrachur Singh,K. Raghavendra Rao | A.S. Ravindra Babu,0.0,3,4.7,969.0,150.0
59,59,59,59,59,59,59,59,59,59,59,tt0305455,Pitaah,2002,04 Jan 2002,Action | Drama,Ravi Shankar Jaiswal (additional dialogue) | Mahesh Manjrekar | K.K. Singh (dialogue) | Teja (screenplay) | Teja (story),Sanjay Dutt | Nandita Das | Sachin Khedekar | Tanvi Hegde,Mahesh Manjrekar,0.0,2,6.5,620.0,126.0
60,60,60,60,60,60,60,60,60,60,60,tt0306434,Aankhen,2002,27 Mar 2002,Comedy | Thriller | Crime,Shobhana Desai (play) | Aatish Kapadia (screenplay) | Aatish Kapadia (story) | Aatish Kapadia | Vipul Amrutlal Shah (screenplay) | Vipul Amrutlal Shah (story),Amitabh Bachchan | Akshay Kumar | Sushmita Sen | Arjun Rampal,Vipul Amrutlal Shah,0.0,4,7.6,11078.0,165.0
61,61,61,61,61,61,61,61,61,61,61,tt0306840,Koi Mere Dil Se Poochhe,2002,11 Jan 2002,Musical | Romance | Thriller,,Jaya Bhaduri | Aftab Shivdasani | Sanjay Kapoor | Juliet Alburque,Vinay Shukla,0.0,2,3.7,230.0,165.0
62,62,62,62,62,62,62,62,62,62,62,tt0306855,Style,2001,28 Dec 2001,Musical | Comedy,N. Chandra,Sharman Joshi | Sahil Khan | Riya Sen | Shillpi Sharma,N. Chandra,0.0,5,6.7,1543.0,157.0
63,63,63,63,63,63,63,63,63,63,63,tt0307116,Maa Tujhhe Salaam,2002,25 Jan 2002,Action | Drama,Ravi Shankar Jaiswal (additional dialogue) | Tinnu Verma (story),Sunny Deol | Tabu | Arbaaz Khan | Tinnu Verma,Tinnu Verma,0.0,3,3.5,1039.0,162.0
64,64,64,64,64,64,64,64,64,64,64,tt0307682,Yeh Dil Aashiqanaa,2002,,Action | Romance,,Jividha Sharma | Mohan Azaad | Arun Bakshi | Rajat Bedi,Sandesh Kohli,0.0,4,4.5,217.0,152.0
65,65,65,65,65,65,65,65,65,65,65,tt0307866,Filhaal...,2002,01 Feb 2002,Drama,Meghna Gulzar,Tabu | Sushmita Sen | Sanjay Suri | Palash Sen,Meghna Gulzar,0.0,1,5.7,218.0,151.0
66,66,66,66,66,66,66,66,66,66,66,tt0308347,Haan Maine Bhi Pyaar Kiya,2002,15 Feb 2002,Musical | Romance,Dharmesh Darshan (dialogue) | Dharmesh Darshan (screenplay) | Naseem Mukri (dialogue) | Raj Sinha (dialogue) | Raj Sinha (screenplay) | Raj Sinha (story),Akshay Kumar | Karisma Kapoor | Abhishek Bachchan | Kader Khan,Dharmesh Darshan,0.0,2,4.1,1120.0,174.0
67,67,67,67,67,67,67,67,67,67,67,tt0309087,Yeh Mohabbat Hai,2002,08 Feb 2002,Action | Romance,Usmon Azim (screenplay) | Rafiq Talukdar (screenplay) | Milap Zaveri (dialogue),Akanksha Malhotra | Rahul Bhat | Nasir Khan | Pinky Campbell,Umesh Mehra,0.0,1,5.3,55.0,
68,68,68,68,68,68,68,68,68,68,68,tt0310254,Tumko Na Bhool Paayenge,2002,24 Feb 2002,Action | Drama | Mystery,Rumi Jaffery,Salman Khan | Sushmita Sen | Dia Mirza | Sharat Saxena,Pankaj Parashar,0.0,2,5.7,2263.0,160.0
69,69,69,69,69,69,69,69,69,69,69,tt0311411,Kranti,2002,27 Mar 2002,Drama,Sanjay Masoom (dialogue),Vinod Khanna | Bobby Deol | Ameesha Patel | Rati Agnihotri,Naresh Malhotra,0.0,2,3.8,326.0,142.0
70,70,70,70,70,70,70,70,70,70,70,tt0312664,Escape from Taliban,2003,14 Feb 2003,Drama | Thriller | War,Sushmita Banerjee (book) | Ujjwal Chatterjee (screenplay) | Shubhrajyoti (dialogue),Manisha Koirala | Nawab Shah | Vineeta Malik | Prithvi Zutshi,Ujjwal Chatterjee,0.0,1,4.6,152.0,166.0
71,71,71,71,71,71,71,71,71,71,71,tt0312883,Kya Yehi Pyaar Hai,2002,10 Apr 2002,Comedy | Musical | Romance,Javed Siddiqui,Jackie Shroff | Aftab Shivdasani | Ameesha Patel | Anupama Verma,K. Muralimohana Rao,0.0,4,3.9,390.0,145.0
72,72,72,72,72,72,72,72,72,72,72,tt0313395,Kitne Door... Kitne Paas,2002,01 May 2002,Comedy | Romance,Mehul Kumar (screenplay) | Mehul Kumar (story) | Imtiaz Patel (dialogue) | Imtiaz Patel (screenplay) | Yunus Sajawal (dialogue) | Yunus Sajawal (screenplay),Fardeen Khan | Amrita Arora | Satish Shah | Tiku Talsania,Mehul Kumar,0.0,1,4.7,266.0,146.0
73,73,73,73,73,73,73,73,73,73,73,tt0313743,Vadh,2002,29 Mar 2002,Mystery | Thriller,,Nana Patekar | Anupama Verma | Puru Rajkumar | Nakhul,Nana Patekar,0.0,1,6.2,104.0,
74,74,74,74,74,74,74,74,74,74,74,tt0313844,16 December,2002,22 Mar 2002,Action | Drama | Mystery,Mani Shankar (dialogue) | Mani Shankar (screenplay) | Mani Shankar (story),Danny Denzongpa | Gulshan Grover | Milind Soman | Dipannita Sharma,Mani Shankar,0.0,4,6.9,1045.0,158.0
75,75,75,75,75,75,75,75,75,75,75,tt0314006,Dum,2003,24 Jan 2003,Crime,Mehran (dialogue) | Mehran (screenplay) | Eeshwar Nivas (screenplay) | Bunty Soorma (story),Vivek Oberoi | Dia Mirza | Atul Kulkarni | Mukesh Rishi,Eeshwar Nivas,0.0,2,5.6,1439.0,166.0
76,76,76,76,76,76,76,76,76,76,76,tt0314008,Durga,2002,"28 Feb,2002",Action |Crime,,J.D. Chakravarthi | Snehal Dabi | Jayaprakash | Priyanka,J.D. Chakravarthi,0.0,1,4.7,15.0,116.0
77,77,77,77,77,77,77,77,77,77,77,tt0314186,Humko Tumse Pyaar Hai,2006,24 Feb 2006,Romance | Thriller,Ashok Roy (screenplay) | Javed Siddiqui (dialogue) | Bunty Soorma (story),Arjun Rampal | Ameesha Patel | Bobby Deol | Achint Kaur,Bunty Soorma,0.0,1,5.2,471.0,128.0
78,78,78,78,78,78,78,78,78,78,78,tt0315632,Road,2002,27 Sep 2002,Thriller,Rajnish Thakur,Manoj Bajpayee | Vivek Oberoi | Antara Mali | Sayaji Shinde,Rajat Mukherjee,0.0,3,5.6,1079.0,134.0
79,79,79,79,79,79,79,79,79,79,79,tt0315767,Angaar: The Fire,2002,,Action,,Vinay Anand | Rana Jung Bahadur | Rajat Bedi | Sanober Kabir,Ajay Kashyap,0.0,1,3.9,9.0,
80,80,80,80,80,80,80,80,80,80,80,tt0315777,Ansh: The Deadly Part,2002,02 Apr 2002,Musical | Action,Rajan Johri (dialogue) | Rajan Johri (screenplay) | Rajan Johri (story),Om Puri | Ashutosh Rana | Abbas | Sharbani Mukherji,Rajan Johri,0.0,1,6.2,35.0,180.0
81,81,81,81,81,81,81,81,81,81,81,tt0316154,Lal Salaam,2002,03 May 2002,Musical | Action | Drama,Suresh Dwadeshiwar (story) | Arshad Jamal,Nandita Das | Sharad S. Kapoor | Makrand Deshpande | Vijay Raaz,Gaganvihari Borate,0.0,1,6.9,78.0,131.0
82,82,82,82,82,82,82,82,82,82,82,tt0316911,Yeh Kaisi Mohabbat,2002,31 May 2002,Musical | Drama | Romance,Y.N. Kapoor,Krishna Abhishek | Viveka Babajee | Sheeba Bhakri | Deeksha,Dinkar Kapur,0.0,1,3.9,28.0,160.0
83,83,83,83,83,83,83,83,83,83,83,tt0317811,Kasam,2001,20 Nov 2001,Adventure | Drama | Crime,Madan Joshi (dialogue) | Jyothika Mittra (idea) | Faiz Saleem (screenplay),Naseeruddin Shah | Sunny Deol | Chunky Pandey | Neelam,Shibu Mitra,0.0,2,4.3,90.0,
84,84,84,84,84,84,84,84,84,84,84,tt0319020,Awara Paagal Deewana,2002,21 Jun 2002,Action | Comedy | Crime,Anand S. Vardhan (story) | Mangesh Kulkarni (story) | Anand S. Vardhan (screenplay) | Mangesh Kulkarni (screenplay) | Neeraj Vora (dialogue),Akshay Kumar | Sunil Shetty | Aftab Shivdasani | Preeti Jhangiani,Vikram Bhatt,0.0,4,6.4,6890.0,158.0
85,85,85,85,85,85,85,85,85,85,85,tt0319736,The Legend of Bhagat Singh,2002,07 Jun 2002,Biography | Drama | History,Ranjit Kapoor (additional dialogue) | Piyush Mishra (Hindi dialogue) | Anjum Rajabali (English dialogue) | Anjum Rajabali (screenplay) | Rajkumar Santoshi (additional dialogue),Ajay Devgn | Sushant Singh | D. Santosh | Akhilendra Mishra,Rajkumar Santoshi,0.0,1,8.1,12921.0,155.0
